epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
12.0,4.0,5.9468696633757645e-08,-69.25190353393555,1.3733063042309368e-06,159,4000.0,1000.0
13.0,4.0,5.8186930829151606e-08,-68.76944351196289,6.3016254898684565e-06,160,4000.0,1000.0
14.0,4.0,5.656626811401111e-08,-68.6096739768982,1.911686013045255e-06,161,4000.0,1000.0
15.0,4.0,5.656626811401111e-08,-69.11027812957764,6.25704842605046e-07,162,4000.0,1000.0
16.0,4.0,5.605310349210413e-08,-69.32946729660034,5.499689450516598e-07,163,4000.0,1000.0
17.0,4.0,5.605310349210413e-08,-68.79387950897217,5.422279173217248e-06,164,4000.0,1000.0
18.0,4.0,5.605310349210413e-08,-67.73075103759766,6.533940450026421e-06,165,4000.0,1000.0
19.0,4.0,5.605310349210413e-08,-68.34736108779907,5.225763288763119e-06,166,4000.0,1000.0
20.0,4.0,5.605310349210413e-08,-69.0586724281311,3.992902747995686e-06,167,4000.0,1000.0
21.0,4.0,5.605310349210413e-08,-68.69598436355591,5.028717168897856e-06,168,4000.0,1000.0
0.0,5.0,2.434339330648072e-05,-60.24505352973938,3.7682868423871696e-05,169,4000.0,1000.0
1.0,5.0,8.12876987765776e-06,-66.7068657875061,8.12876987765776e-06,170,4000.0,1000.0
2.0,5.0,1.318390332016861e-06,-68.73212051391602,1.318390332016861e-06,171,4000.0,1000.0
3.0,5.0,7.005944553384325e-07,-69.16368532180786,7.289046948244504e-07,172,4000.0,1000.0
4.0,5.0,2.1629240620768542e-07,-69.32995223999023,2.1629240620768542e-07,173,4000.0,1000.0
5.0,5.0,9.566572600760992e-08,-69.37705993652344,9.566572600760992e-08,174,4000.0,1000.0
6.0,5.0,6.689425902095536e-08,-69.38971185684204,9.824875490949125e-08,175,4000.0,1000.0
7.0,5.0,6.495223914271264e-08,-69.37023973464966,8.700196758582024e-07,176,4000.0,1000.0
